No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
269,269,가락시장,8,송파구,가락동,"서울특별시 송파구 가락동 184-23 가락시장역(3, 8호선)",6311-8170,127.1181916,37.49290651,정좌표
270,270,문정,8,송파구,문정동,서울특별시 송파구 문정동 119-4 문정역,6311-8180,127.1215007,37.48775372,정좌표
271,271,장지,8,송파구,장지동,서울특별시 송파구 장지동 201-5 장지역,6311-8190,127.1265914,37.47756966,정좌표
272,272,복정,8,송파구,장지동,서울특별시 송파구 장지동 596-21 복정역,6311-8200,127.1266813,37.47064934,정좌표
273,273,산성,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 7-4 산성역,6311-8210,127.1502085,37.4566229,정좌표
274,274,남한산성입구(성남법원?검찰청),8,성남시,수정구 단대동,경기도 성남시 수정구 단대동 96 남한산성입구역,6311-8220,127.1581797,37.44926539,정좌표
275,275,단대오거리,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 단대오거리역,6311-8230,127.1504216,37.44338284,정좌표
276,276,신흥,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 신흥역,6311-8240,127.1504216,37.44338284,정좌표
277,277,수진,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 2205-1 수진역,6311-8250,127.1404196,37.43763684,정좌표
278,278,모란,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 4808 모란역,6311-8260,127.1301147,37.4363266,정좌표
4,4,종로3가,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),6110-1301,126.9922973,37.57069559,정좌표
39,39,봉천,2,관악구,봉천동,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,6110-2291,126.9416991,37.48358633,정좌표
113,113,서울역,4,용산구,용산구,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),6110-4261,126.9727212,37.55368741,정좌표
246,246,대림(구로구청),7,구로구,대림동,서울특별시 구로구 대림동 1050-17 대림역(7호선),6311-7440,126.8966456,37.49341993,정좌표
