연번,역명,호선,구,동,상세주소,
99,창동,4,도봉구,창동,서울특별시 도봉구 창동 135-1 창동역,6110-4121
100,쌍문,4,도봉구,창동,서울특별시 도봉구 창동 703-4 쌍문역,6110-4131
101,수유(강북구청),4,강북구,수유동,서울특별시 강북구 수유동 140 수유역,6110-4141
102,미아(서울사이버대학),4,강북구,미아동,서울특별시 강북구 미아동 194-1 미아역,6110-4151
103,미아사거리,4,강북구,미아동,서울특별시 강북구 미아동 66-1 미아사거리역,6110-4161
104,길음,4,성북구,길음동,서울특별시 성북구 길음동 877-66 길음역,6110-4171
105,성신여대입구(돈암),4,성북구,동선동4가,서울특별시 성북구 동선동4가 1 성신여대입구역,6110-4181
106,한성대입구(삼선교),4,성북구,삼선동1가,서울특별시 성북구 삼선동1가 14 한성대입구역,6110-4191
107,혜화,4,종로구,명륜4가,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,6110-4201
108,동대문,4,종로구,종로6가,서울특별시 종로구 종로6가 287-1 동대문역(4호선),6110-4211
109,동대문역사문화공원,4,중구,광희동2가,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),6110-4221
110,충무로,4,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231
111,명동,4,중구,충무로2가,서울특별시 중구 충무로2가 109-2 명동역 4호선,6110-4241
112,회현(남대문시장),4,중구,남창동,서울특별시 중구 남창동 64-1 회현역 4호선,6110-4251
113,서울역,4,용산구,용산구,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),6110-4261
114,숙대입구(갈월),4,용산구,갈월동,서울특별시 용산구 갈월동 16-7 숙대입구역,6110-4271
115,삼각지,4,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),6110-4281
116,신용산,4,용산구,한강로2가,서울특별시 용산구 한강로2가 181 4호선 신용산역,6110-4291
117,이촌(국립중앙박물관),4,용산구,용산동5가,서울특별시 용산구 용산동5가 17-112 4호선 이촌역,6110-4301
118,동작(현충원),4,동작구,동작동,서울특별시 동작구 동작동 327-1 4호선 동작역,6110-4311
119,총신대입구(이수),4,동작구,사당동,서울특별시 동작구 사당동 736-1 총신대역4호선,6110-4321
120,사당,4,동작구,사당동,서울특별시 동작구 사당동 588-4 사당역(4호선),6110-4331
121,남태령,4,서초구,방배동,서울특별시 서초구 방배동 2909 남태령역,6110-4341
122,방화,5,강서구,방화동,서울특별시 강서구 방화동 829-15 방화역,6311-5100
123,개화산,5,강서구,방화동,서울특별시 강서구 방화동 846 개화산역,6311-5110
124,김포공항,5,강서구,방화동,서울특별시 강서구 방화동 886 김포공항역,6311-5120
125,송정,5,강서구,공항동,서울특별시 강서구 공항동 29-5 송정역,6311-5130
126,마곡,5,강서구,가양동,서울특별시 강서구 가양동 530-6 마곡역,6311-5140
127,발산,5,강서구,가양동,서울특별시 강서구 가양동 967-3 발산역,6311-5150
128,우장산,5,강서구,화곡동,서울특별시 강서구 화곡동 1089-3 우장산역,6311-5160
129,화곡,5,강서구,화곡동,서울특별시 강서구 화곡동 1089-54 화곡역,6311-5170
130,까치산,5,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역(5호선),6311-5180
131,신정(은행정),5,양천구,신정동,서울특별시 양천구 신정동 1090 신정역,6311-5190
132,목동,5,양천구,목동,서울특별시 양천구 목동 926-3 목동역,6311-5200
133,오목교(목동운동장앞),5,양천구,목동,서울특별시 양천구 목동 406-30 오목교역,6311-5210
134,양평,5,영등포구,양평동2가,서울특별시 영등포구 양평동2가 33-79 양평역 ,6311-5220
135,영등포구청,5,영등포구,당산동3가,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),6311-2361
136,영등포시장,5,영등포구,영등포동5가,서울특별시 영등포구 영등포동5가 62-1 영등포시장역,6311-5240
137,신길,5,영등포구,영등포동1가,서울특별시 영등포구 영등포동1가 35 신길역,6311-5250
138,여의도,5,영등포구,여의도동,서울특별시 영등포구 여의도동 3 여의도역,6311-5260
139,여의나루,5,영등포구,여의도동,서울특별시 영등포구 여의도동 84-4 여의나루역,6311-5270
140,마포,5,마포구,도화동,서울특별시 마포구 도화동 160 마포역,6311-5280
141,공덕,5,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",6311-5290
142,애오개,5,마포구,아현동,서울특별시 마포구 아현동 612 애오개역,6311-5300
143,충정로(경기대입구),5,서대문구,충정로3가,서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),6311-5310
144,서대문,5,종로구,평동,서울특별시 종로구 평동 210 서대문역,6311-5320
145,광화문(세종문화회관),5,종로구,세종로,서울특별시 종로구 세종로 1-90 광화문역,6311-5330
146,종로3가(탑골공원),5,종로구,낙원동,서울특별시 종로구 낙원동 126 종로3가역(5호선),6311-5340
147,을지로4가,5,중구,을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),6311-5350
148,동대문역사문화공원,5,중구,광희동1가,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),6311-5360
149,청구,5,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",6311-5370
150,신금호,5,성동구,금호동2가,서울특별시 성동구 금호동2가 223-1 신금호역,6311-5380
151,행당,5,성동구,행당동,서울특별시 성동구 행당동 317-241 행당역,6311-5390
152,왕십리(성동구청),5,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(5호선),6311-5400
153,마장,5,성동구,마장동,서울특별시 성동구 마장동 772 마장역,6311-5410
154,답십리,5,성동구,용답동,서울특별시 성동구 용답동 99 답십리역,6311-5420
155,장한평,5,동대문구,장안동,서울특별시 동대문구 장안동 472-3 장한평역,6311-5430
156,군자(능동),5,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",6311-5440
157,아차산(어린이대공원후문),5,광진구,능동,서울특별시 광진구 능동 256-16 아차산역,6311-5450
158,광나루(장신대),5,광진구,광장동,서울특별시 광진구 광장동 237 광나루역,6311-5460
159,천호(풍납토성),5,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470
160,강동,5,강동구,천호동,서울특별시 강동구 천호동 447 강동역,6311-5480
161,길동,5,강동구,길동,서울특별시 강동구 길동 378 길동역,6311-5490
162,굽은다리(강동구민회관앞),5,강동구,명일동,서울특별시 강동구 명일동 345-12 굽은다리역,6311-5500
